iter	Logloss
0	0.6339924446
1	0.5969984274
2	0.5647585948
3	0.5295490512
4	0.5023468294
5	0.4784120107
6	0.4612876694
7	0.4428260011
8	0.4255341316
9	0.4088789077
10	0.3942243154
11	0.3843006632
12	0.3750995336
13	0.3656313878
14	0.3572857517
15	0.3481989621
16	0.3405526981
17	0.3337120972
18	0.3285522489
19	0.3222531994
20	0.3171812883
21	0.3111409418
22	0.3061435973
23	0.299829218
24	0.2941813352
25	0.2893563962
26	0.286067105
27	0.2815929249
28	0.2776205014
29	0.2741197543
30	0.2707815707
31	0.2673184288
32	0.2626937511
33	0.2592073716
34	0.2551906581
35	0.252546685
36	0.2487014156
37	0.2456933308
38	0.2430922902
39	0.240286562
40	0.2376954065
41	0.2345472717
42	0.2320204497
43	0.2288534664
44	0.2263990208
45	0.2234828402
46	0.2204760984
47	0.2179340039
48	0.2154603112
49	0.2136115423
50	0.211585452
51	0.2094888156
52	0.2069888909
53	0.2050623803
54	0.2014383151
55	0.1993117933
56	0.1976532662
57	0.1958851468
58	0.1941941957
59	0.1922040331
60	0.1900724909
61	0.1881790005
62	0.1859787284
63	0.1847059833
64	0.1819708083
65	0.1805569421
66	0.1792317483
67	0.1777662705
68	0.1760385143
69	0.1746873519
70	0.173138975
71	0.1710248589
72	0.1695464895
73	0.167955718
74	0.1669555162
75	0.1646910781
76	0.1631353214
77	0.1618691945
78	0.1600274128
79	0.1590142105
80	0.1570969062
81	0.1555345346
82	0.1546370726
83	0.1534751992
84	0.1523541684
85	0.1504797303
86	0.1488413421
87	0.1481727778
88	0.1461481053
89	0.1446726501
90	0.1429363842
91	0.1415399007
92	0.1405379296
93	0.1396510128
94	0.1389846781
95	0.1380585342
96	0.1367481227
97	0.1359512754
98	0.1346782748
99	0.1336182894
100	0.1319289199
101	0.1304768509
102	0.1286480217
103	0.1276140835
104	0.1258317507
105	0.1246133745
106	0.1233894004
107	0.1226868839
108	0.1214150013
109	0.1203904961
110	0.1189946871
111	0.1181421951
112	0.1172221982
113	0.1164767056
114	0.1149481994
115	0.1138267945
116	0.1132426835
117	0.1122178145
118	0.1114049675
119	0.1105580129
120	0.1098477203
121	0.1089316969
122	0.1082523727
123	0.1076279769
124	0.106616687
125	0.1058564959
126	0.1051653047
127	0.1046530979
128	0.103912009
129	0.1031455105
130	0.1021162167
131	0.1013142107
132	0.1002761876
133	0.09981078199
134	0.09932037914
135	0.09853062029
136	0.09809149612
137	0.09742259825
138	0.09632756532
139	0.09565979749
140	0.09511800372
141	0.09433264584
142	0.09394073475
143	0.09319206022
144	0.09258960972
145	0.09211762086
146	0.09161439645
147	0.09105237068
148	0.09061651643
149	0.09011585659
150	0.08967412674
151	0.08881185686
152	0.08833460571
153	0.08758356555
154	0.08705543678
155	0.08659193207
156	0.08613412554
157	0.08583019626
158	0.08551375191
159	0.08502713201
160	0.08461551712
161	0.08415247443
162	0.08334700392
163	0.08291119813
164	0.08247943493
165	0.08212278756
166	0.08152573156
167	0.08117982791
168	0.08092229518
169	0.08041718316
170	0.07981037129
171	0.07941243637
172	0.07896192838
173	0.07850561868
174	0.07817783123
175	0.07759619578
176	0.07709842124
177	0.07652946511
178	0.07616325808
179	0.07578913802
180	0.07546420331
181	0.0749248582
182	0.0744175426
183	0.07413901963
184	0.07384724331
185	0.07340452284
186	0.07303073084
187	0.07245896013
188	0.07200850004
189	0.07173103185
190	0.07096828395
191	0.07045014617
192	0.07005624597
193	0.06979201038
194	0.06942844937
195	0.06912524931
196	0.06872392207
197	0.06852571887
198	0.06822296541
199	0.06758285047
200	0.06684080913
201	0.0662706986
202	0.06603473868
203	0.065768711
204	0.06541816239
205	0.06498757355
206	0.06465917765
207	0.06443358788
208	0.06418731356
209	0.0639697875
210	0.06357963549
211	0.06320966139
212	0.06279451498
213	0.06257426744
214	0.0619732008
215	0.06136750101
216	0.0610563369
217	0.06046935955
218	0.0602049726
219	0.05963178722
220	0.05918528285
221	0.05881360328
222	0.05829005136
223	0.05805774429
224	0.05761967446
225	0.05715998468
226	0.05699352924
227	0.05664975593
228	0.05639516814
229	0.05625821593
230	0.0558969569
231	0.05560465926
232	0.05533499118
233	0.05491607843
234	0.05470171256
235	0.05438396581
236	0.05422937651
237	0.05399271867
238	0.05354617041
239	0.05338965976
240	0.0529379251
