iter	Passed	Remaining
399	56312	14078
400	56448	13936
401	56585	13794
402	56720	13652
403	56866	13512
404	56988	13367
405	57117	13224
406	57247	13081
407	57381	12938
408	57511	12795
409	57649	12654
410	57791	12514
411	57965	12381
412	58116	12242
413	58241	12098
414	58384	11958
415	58519	11816
416	58663	11676
417	58809	11536
418	58948	11395
419	59074	11252
420	59196	11108
421	59324	10965
422	59460	10823
423	59596	10682
424	59727	10540
425	59855	10397
426	59990	10255
427	60111	10112
428	60254	9972
429	60397	9832
430	60528	9690
431	60664	9549
432	60807	9408
433	60952	9269
434	61085	9127
435	61222	8986
436	61358	8845
437	61513	8707
438	61658	8567
439	61802	8427
440	61929	8285
441	62062	8144
442	62209	8004
443	62341	7862
444	62468	7720
445	62598	7579
446	62743	7439
447	62888	7299
448	63026	7158
449	63229	7025
450	63381	6886
451	63512	6744
452	63654	6604
453	63795	6463
454	63930	6322
455	64055	6180
456	64195	6040
457	64332	5899
458	64488	5760
459	64627	5619
460	64764	5478
461	64891	5337
462	65024	5196
463	65159	5055
464	65296	4914
465	65439	4774
466	65578	4634
467	65720	4493
468	65856	4352
469	65987	4211
470	66130	4071
471	66259	3930
472	66397	3790
473	66536	3649
474	66682	3509
475	66816	3368
476	66956	3228
477	67091	3087
478	67219	2947
479	67356	2806
480	67492	2666
481	67625	2525
482	67759	2384
483	67906	2244
484	68037	2104
485	68166	1963
486	68302	1823
487	68509	1684
488	68661	1544
489	68802	1404
490	68932	1263
491	69070	1123
492	69208	982
493	69347	842
494	69481	701
495	69617	561
496	69751	421
497	69881	280
498	70000	140
499	70132	0
